Field,Date,FIBBG000B9XRY4,FIBBG000BKZB36,FIBBG000BMHYD1,FIBBG000BPH459,FIBBG000GZQ728,FIBBG00B3T3HD3
Close,2023-04-12,159.25,282.9309,159.0291,281.1823,111.2492,39.1021
Close,2023-04-13,164.681,284.5967,161.1538,287.4806,111.7705,40.3844
Close,2023-04-14,164.3328,284.6356,160.8918,283.8107,112.0409,39.8518
Close,2023-04-17,164.3527,287.7627,160.7269,286.449,110.7375,40.2463
Close,2023-04-18,165.5861,291.2209,156.2059,286.0225,112.9001,41.578
Close,2023-04-19,166.74,289.2336,157.6806,286.1019,112.5429,40.6606
Close,2023-04-20,165.7652,290.8507,158.6993,283.7809,111.645,39.6841
Close,2023-04-21,164.1438,292.2827,157.8358,283.4338,112.0022,37.6422
Close,2023-04-24,164.4522,293.8413,158.7963,279.4763,114.1166,37.5238
Close,2023-04-25,162.9005,288.6686,160.2515,273.178,112.4946,35.2649
Close,2023-04-26,162.8905,280.6222,157.7679,292.9655,111.4616,34.9689
Close,2023-04-27,167.5158,286.3307,158.1366,302.3485,112.7939,35.7778
Close,2023-04-28,168.7791,292.7698,158.8157,304.7588,114.2517,36.636
Close,2023-05-01,168.6896,290.0032,158.7187,303.0726,110.7085,36.7642
Close,2023-05-02,167.6452,286.6716,160.106,302.9238,106.2964,35.1958
Close,2023-05-03,166.5609,285.5026,158.0105,301.922,104.2014,34.5448
Close,2023-05-04,164.9098,278.3621,157.2925,302.9238,102.3767,33.9135
Close,2023-05-05,172.6485,282.1321,157.8261,308.1212,104.9255,35.6594
Close,2023-05-08,172.5788,280.4858,157.4672,306.1374,105.3406,36.3204
Close,2023-05-09,170.858,283.0673,156.2448,304.5009,105.3696,36.0146
Close,2023-05-10,172.6335,281.5573,156.8269,309.7676,104.0179,35.6496
Close,2023-05-11,172.8275,280.252,156.1865,307.5856,102.1353,34.8506
Close,2023-05-12,171.8912,282.9601,155.9828,306.4548,102.1257,34.89
Close,2023-05-15,171.3932,281.08,154.7895,306.9408,102.3204,36.5915
Close,2023-05-16,171.3932,275.0306,154.5858,309.2023,99.8372,35.7111
Close,2023-05-17,172.0107,284.8305,154.2462,312.1247,102.077,36.3442
Close,2023-05-18,174.3614,287.5289,153.7514,316.6177,103.0021,36.4134
Close,2023-05-19,174.471,283.3595,154.1686,316.4388,103.4793,35.7111
Close,2023-05-22,173.5148,283.1452,153.3377,319.2619,102.223,36.0079
Close,2023-05-23,170.8852,287.3145,153.2791,313.3772,103.6156,35.2857
Close,2023-05-24,171.1641,283.5738,153.1325,311.9756,104.7745,33.9799
Close,2023-05-25,172.3095,279.3363,150.9331,323.9735,102.895,33.426
Close,2023-05-26,174.7399,285.2591,150.8745,330.9019,102.223,33.327
Close,2023-05-30,176.6026,284.8402,150.894,329.2319,101.3174,32.4466
Close,2023-05-31,176.5528,278.1095,151.5685,326.4288,99.506,31.3783
Close,2023-06-01,179.3816,282.9564,151.0602,330.5938,100.6552,32.3477
Close,2023-06-02,180.2382,290.3641,153.4355,333.3969,102.9924,34.5636
Close,2023-06-05,178.8736,287.5777,154.7551,333.9337,102.5347,33.4161
Close,2023-06-06,178.5051,290.423,154.6182,331.6872,103.3722,34.1778
Close,2023-06-07,177.1205,296.0156,154.9506,321.4487,105.6899,34.9692
Close,2023-06-08,179.8597,295.4171,156.6514,323.3175,105.3588,35.1967
Close,2023-06-09,180.2482,291.7476,156.407,324.8383,104.5797,34.8505
Close,2023-06-12,183.0671,295.1914,156.2995,329.8681,103.6351,34.613
Close,2023-06-13,182.5889,294.4261,157.1206,332.2936,103.6546,36.3046
Close,2023-06-14,183.2264,294.0631,157.9221,335.3253,102.4081,35.7408
Close,2023-06-15,185.2783,296.3296,160.0433,346.0211,103.119,35.5825
